Recreation Centers,Zip Code,Phone Number,Location 1
Danny G. McBeth Recreation Center,78746,(512) 974-9011,"2401-A Columbus Dr.
Austin
(30.266509, -97.777226)"
Hancock Recreation Center,78751,(512) 453-7765,"811 E. 41st St.
Austin
(30.300555, -97.72412)"
Alamo Recreation ,78722,(512) 974-5680,"2100 Alamo St.
Austin
(30.282633, -97.719847)"
PARD Annex ,78705,,"919 West 28 1/2 Street
Austin
(30.29566, -97.74786)"
Metz Recreation Center,78702,(512) 478-8716,"2407 Canterbury St.
Austin
(30.252716, -97.718138)"
Montopolis Recreation Center,78741,(512) 978-2300,"1200 Montopolis Dr.
Austin
(30.231914, -97.699009)"
Austin Recreation Center,78701,(512) 476-5662,"1301 Shoal Creek Blvd.
Austin
(30.278015, -97.750431)"
"Lorraine ""Grandma"" Camacho Activity Center",78702,(512) 391-1863,"35 Robert Martinez Jr. St.
Austin
(30.250126, -97.723294)"
Turner-Roberts Recreation Center,78724,(512) 978-2690 ,"7201 Colony Loop Dr.
Austin
(30.30245, -97.637366)"
Pickfair Community Center,78750,(512) 401-8119,"10904 Pickfair Dr.
Austin
(30.43875, -97.810789)"
Dittmar Recreation Center,78745,(512) 974-6090,"1009 W. Dittmar Rd.
Austin
(30.185672, -97.801937)"
Parks and Recreation Department Main Office ,78704,(512) 974-6700,"200 South Lamar Blvd.
Austin
(30.263582, -97.757356)"
Northwest Recreation Center,78757,(512) 974-6972,"2913 Northland Dr.
Austin
(30.334527, -97.751602)"
Dottie Jordan Recreation Center,78723,(512) 926-3491,"2803 Loyola Ln.
Austin
(30.314349, -97.673339)"
Parque Zaragoza Recreation Center,78702,(512) 472-7142,"2608 Gonzales St.
Austin
(30.261372, -97.712156)"
Dove Springs Recreation Center,78744,(512) 974-3840,"5801 Ainez Dr.
Austin
(30.187526, -97.739643)"
South Austin Recreation Center,78704,(512) 444-6601,"1100 Cumberland Rd.
Austin
(30.241025, -97.768888)"
Givens Recration Center,78721,(512) 974-2430,"3811 E. 12th St.
Austin
(30.278373, -97.690739)"
Delores Duffie Recreation Center,78702,(512) 472-6838,"1182 N. Pleasant Valley Rd.
Austin
(30.273088, -97.713999)"
Lady Bird Lake Boardwalk ,78705,,"919 West 28 1/2 Street
Austin
(30.29566, -97.74786)"
Virginia L. Brown Recreation Center,78752,(512) 974-7865,"7500 Blessing Ave.
Austin
(30.331949, -97.693032)"
Emma S. Barrientos Mexican American Cultural Center ,78701,(512)974-3772,"600 River Street
Austin
(30.258045, -97.739639)"
Oswaldo A. B. Cantu/Pan American Recreation Center,78702,(512) 476-9193,"2100 E. 3rd St.
Austin
(30.257856, -97.720854)"
"Gustavo ""Gus"" L. Garcia Recration Center",78753,(512) 339-0016,"1201 E. Rundberg Ln.
Austin
(30.35403, -97.681501)"
